Company Name,Exchange:Ticker,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
Artist Company Inc. (KOSDAQ:A321820),KOSDAQ:A321820,Advertising,Communication Services,7310,South Korea,Emerging Markets,Small Asia
Asiaray Media Group Limited (SEHK:1993),SEHK:1993,Advertising,Communication Services,7310,Hong Kong,Emerging Markets,China
"Asmarq Co., Ltd. (TSE:4197)",TSE:4197,Advertising,Communication Services,8700,Japan,Japan,Japan
Audience Analytics Limited (Catalist:1AZ),Catalist:1AZ,Advertising,Communication Services,7310,Malaysia,Emerging Markets,Small Asia
"AUN CONSULTING, Inc. (TSE:2459)",TSE:2459,Advertising,Communication Services,7370,Japan,Japan,Japan
"AViC Co., Ltd. (TSE:9554)",TSE:9554,Advertising,Communication Services,7311,Japan,Japan,Japan
B-52 Capital Public Company Limited (SET:B52),SET:B52,Advertising,Communication Services,7310,Thailand,Emerging Markets,Small Asia
Baosheng Media Group Holdings Limited (NasdaqCM:BAOS),NasdaqCM:BAOS,Advertising,Communication Services,7310,China,Emerging Markets,China
Beewize S.p.A. (BIT:BWZ),BIT:BWZ,Advertising,Communication Services,7370,Italy,Developed Europe,EU & Environs
Beijing Media Corporation Limited (SEHK:1000),SEHK:1000,Advertising,Communication Services,2700,Hong Kong,Emerging Markets,China
"Beijing Quanshi World Online Network Information Co., Ltd. (SZSE:002995)",SZSE:002995,Advertising,Communication Services,7310,China,Emerging Markets,China
"Beijing Yuanlong Yato Culture Dissemination Co.,Ltd. (SZSE:002878)",SZSE:002878,Advertising,Communication Services,8742,China,Emerging Markets,China
Bilendi SA (ENXTPA:ALBLD),ENXTPA:ALBLD,Advertising,Communication Services,7310,France,Developed Europe,EU & Environs
Billboard AD (BUL:BBRD),BUL:BBRD,Advertising,Communication Services,7310,Bulgaria,Emerging Markets,Eastern Europe & Russia
Birdman Inc. (TSE:7063),TSE:7063,Advertising,Communication Services,7310,Japan,Japan,Japan
"Bleach, Inc. (TSE:9162)",TSE:9162,Advertising,Communication Services,8742,Japan,Japan,Japan
BlockFin Holdings Limited (SEHK:888),SEHK:888,Advertising,Communication Services,7310,Hong Kong,Emerging Markets,China
"BlueFocus Intelligent Communications Group Co., Ltd. (SZSE:300058)",SZSE:300058,Advertising,Communication Services,7310,China,Emerging Markets,China
Boston Omaha Corporation (NYSE:BOC),NYSE:BOC,Advertising,Communication Services,7310,United States,United States,United States
"Boutiques, Inc. (TSE:9272)",TSE:9272,Advertising,Communication Services,7310,Japan,Japan,Japan
Branding Technology Inc. (TSE:7067),TSE:7067,Advertising,Communication Services,7310,Japan,Japan,Japan
Bright Future Technology Holdings Limited (SEHK:1351),SEHK:1351,Advertising,Communication Services,7311,China,Emerging Markets,China
"Bright Mountain Media, Inc. (OTCPK:BMTM)",OTCPK:BMTM,Advertising,Communication Services,7310,United States,United States,United States
Bright Outdoor Media Limited (BSE:543831),BSE:543831,Advertising,Communication Services,7310,India,Emerging Markets,India
Brightcom Group Limited (BSE:532368),BSE:532368,Advertising,Communication Services,7310,India,Emerging Markets,India
BUUU Group Limited (NasdaqCM:BUUU),NasdaqCM:BUUU,Advertising,Communication Services,7389,Hong Kong,Emerging Markets,China
"Cardlytics, Inc. (NasdaqGM:CDLX)",NasdaqGM:CDLX,Advertising,Communication Services,7310,United States,United States,United States
Cash UR Drive Marketing Limited (NSEI:CUDML),NSEI:CUDML,Advertising,Communication Services,7311,India,Emerging Markets,India
Ceo Event Medya A.S. (IBSE:CEOEM),IBSE:CEOEM,Advertising,Communication Services,7389,Turkey,Developed Europe,EU & Environs
Ceres Inc. (TSE:3696),TSE:3696,Advertising,Communication Services,0100,Japan,Japan,Japan
"Cerespo Co., Ltd. (TSE:9625)",TSE:9625,Advertising,Communication Services,7389,Japan,Japan,Japan
"Chai Communication Co.,LTD. (KOSDAQ:A351870)",KOSDAQ:A351870,Advertising,Communication Services,7310,South Korea,Emerging Markets,Small Asia
Chatterbox Technologies Limited (BSE:544546),BSE:544546,Advertising,Communication Services,7311,India,Emerging Markets,India
Cheil Worldwide Inc. (KOSE:A030000),KOSE:A030000,Advertising,Communication Services,7311,South Korea,Emerging Markets,Small Asia
China 33 Media Group Limited (SEHK:8087),SEHK:8087,Advertising,Communication Services,7310,China,Emerging Markets,China
China Frontier Technology Group (SEHK:1661),SEHK:1661,Advertising,Communication Services,7310,Hong Kong,Emerging Markets,China
Ciscom Corp. (CNSX:CISC),CNSX:CISC,Advertising,Communication Services,7310,Canada,"Australia, NZ and Canada",Canada
CL Holdings Inc. (TSE:4286),TSE:4286,Advertising,Communication Services,8742,Japan,Japan,Japan
"Clear Channel Outdoor Holdings, Inc. (NYSE:CCO)",NYSE:CCO,Advertising,Communication Services,7310,United States,United States,United States
Clever Group Corporation (HOSE:ADG),HOSE:ADG,Advertising,Communication Services,7310,Vietnam,Emerging Markets,Small Asia
"Clubhouse Media Group, Inc. (OTCPK:CMGR)",OTCPK:CMGR,Advertising,Communication Services,7310,United States,United States,United States
CMO Public Company Limited (SET:CMO),SET:CMO,Advertising,Communication Services,7389,Thailand,Emerging Markets,Small Asia
"Collective Audience, Inc. (OTCPK:CAUD)",OTCPK:CAUD,Advertising,Communication Services,7310,United States,United States,United States
"comScore, Inc. (NasdaqGS:SCOR)",NasdaqGS:SCOR,Advertising,Communication Services,8742,United States,United States,United States
Cornerstone Financial Holdings Limited (SEHK:8112),SEHK:8112,Advertising,Communication Services,7310,Hong Kong,Emerging Markets,China
Crayons Advertising Limited (NSEI:CRAYONS),NSEI:CRAYONS,Advertising,Communication Services,7311,India,Emerging Markets,India
"Creative Realities, Inc. (NasdaqCM:CREX)",NasdaqCM:CREX,Advertising,Communication Services,7372,United States,United States,United States
Cross Marketing Group Inc. (TSE:3675),TSE:3675,Advertising,Communication Services,8700,Japan,Japan,Japan
"CyberAgent, Inc. (TSE:4751)",TSE:4751,Advertising,Communication Services,7310,Japan,Japan,Japan
DAPS Advertising Limited (BSE:543651),BSE:543651,Advertising,Communication Services,7311,India,Emerging Markets,India
Dentsu Group Inc. (TSE:4324),TSE:4324,Advertising,Communication Services,7311,Japan,Japan,Japan
Dezign Format Group Limited (Catalist:UZF),Catalist:UZF,Advertising,Communication Services,7389,Singapore,Emerging Markets,Small Asia
Dianomi plc (AIM:DNM),AIM:DNM,Advertising,Communication Services,7310,United Kingdom,Developed Europe,UK
"Digital Brand Media & Marketing Group, Inc. (OTCPK:DBMM)",OTCPK:DBMM,Advertising,Communication Services,7310,United States,United States,United States
"Digital Holdings, Inc. (TSE:2389)",TSE:2389,Advertising,Communication Services,7310,Japan,Japan,Japan
Digital Network SA (WSE:DIG),WSE:DIG,Advertising,Communication Services,7311,Poland,Developed Europe,EU & Environs
DIGITALIFT Inc. (TSE:9244),TSE:9244,Advertising,Communication Services,7310,Japan,Japan,Japan
DigiTouch S.p.A. (BIT:DGT),BIT:DGT,Advertising,Communication Services,7310,Italy,Developed Europe,EU & Environs
Digitree Group S.A. (WSE:DTR),WSE:DTR,Advertising,Communication Services,6552,Poland,Developed Europe,EU & Environs
"Direct Digital Holdings, Inc. (NasdaqCM:DRCT)",NasdaqCM:DRCT,Advertising,Communication Services,7311,United States,United States,United States
Direct Marketing MiX Inc. (TSE:7354),TSE:7354,Advertising,Communication Services,8742,Japan,Japan,Japan
DLE Inc. (TSE:3686),TSE:3686,Advertising,Communication Services,7310,Japan,Japan,Japan
"DoubleVerify Holdings, Inc. (NYSE:DV)",NYSE:DV,Advertising,Communication Services,7372,United States,United States,United States
Dowway Holdings Limited (SEHK:8403),SEHK:8403,Advertising,Communication Services,7389,China,Emerging Markets,China
"DREAMINSIGHT Co,.Ltd. (KOSDAQ:A362990)",KOSDAQ:A362990,Advertising,Communication Services,7311,South Korea,Emerging Markets,Small Asia
E Factor Experiences Limited (NSEI:EFACTOR),NSEI:EFACTOR,Advertising,Communication Services,7389,India,Emerging Markets,India
e-Direct Inc. (OTCPK:EDZR),OTCPK:EDZR,Advertising,Communication Services,7319,United States,United States,United States
Eagle Eye Solutions Group PLC (AIM:EYE),AIM:EYE,Advertising,Communication Services,7310,United Kingdom,Developed Europe,UK
Easou Technology Holdings Limited (SEHK:2550),SEHK:2550,Advertising,Communication Services,7310,China,Emerging Markets,China
"Easy Click Worldwide Network Technology Co., Ltd. (SZSE:301171)",SZSE:301171,Advertising,Communication Services,8742,China,Emerging Markets,China
Ebiquity plc (AIM:EBQ),AIM:EBQ,Advertising,Communication Services,7370,United Kingdom,Developed Europe,UK
Ecom Products Group Corporation (OTCPK:EPGC),OTCPK:EPGC,Advertising,Communication Services,7319,United States,United States,United States
"Emerald Holding, Inc. (NYSE:EEX)",NYSE:EEX,Advertising,Communication Services,7389,United States,United States,United States
eMnet Inc. (KOSDAQ:A123570),KOSDAQ:A123570,Advertising,Communication Services,7310,South Korea,Emerging Markets,Small Asia
eMnet Japan.co.ltd. (TSE:7036),TSE:7036,Advertising,Communication Services,7311,Japan,Japan,Japan
Enero Group Limited (ASX:EGG),ASX:EGG,Advertising,Communication Services,7310,Australia,"Australia, NZ and Canada",Australia & NZ
Eniro Group AB (publ) (OM:ENRO),OM:ENRO,Advertising,Communication Services,7310,Sweden,Developed Europe,EU & Environs
"Enjin Co., Ltd. (TSE:7370)",TSE:7370,Advertising,Communication Services,8700,Japan,Japan,Japan
Eprcomunicazione S.p.A. (BIT:EPRB),BIT:EPRB,Advertising,Communication Services,7311,Italy,Developed Europe,EU & Environs
EPWK Holdings Ltd. (OTCPK:EPWK.F),OTCPK:EPWK.F,Advertising,Communication Services,7371,China,Emerging Markets,China
Eraaya Lifespaces Limited (BSE:531035),BSE:531035,Advertising,Communication Services,9995,India,Emerging Markets,India
"eSang Networks Co.,Ltd (KOSDAQ:A080010)",KOSDAQ:A080010,Advertising,Communication Services,7310,South Korea,Emerging Markets,Small Asia
Esha Media Research Limited (BSE:531259),BSE:531259,Advertising,Communication Services,2750,India,Emerging Markets,India
"Eva Live, Inc. (OTCPK:GOAI)",OTCPK:GOAI,Advertising,Communication Services,7310,United States,United States,United States
Everbright Digital Holding Limited (NasdaqCM:EDHL),NasdaqCM:EDHL,Advertising,Communication Services,8742,Hong Kong,Emerging Markets,China
Exhicon Events Media Solutions Limited (BSE:543895),BSE:543895,Advertising,Communication Services,7389,India,Emerging Markets,India
Fabrity S.A. (WSE:FAB),WSE:FAB,Advertising,Communication Services,7370,Poland,Developed Europe,EU & Environs
"Fame Productions, Inc. (OTCPK:FMPR)",OTCPK:FMPR,Advertising,Communication Services,7310,United States,United States,United States
"FAN Communications, Inc. (TSE:2461)",TSE:2461,Advertising,Communication Services,7311,Japan,Japan,Japan
Far East Fame Line DDB Public Company Limited (SET:FE),SET:FE,Advertising,Communication Services,7311,Thailand,Emerging Markets,Small Asia
Fast Track Group (NasdaqCM:FTRK),NasdaqCM:FTRK,Advertising,Communication Services,7900,Singapore,Emerging Markets,Small Asia
Fiera Milano S.p.A. (BIT:FM),BIT:FM,Advertising,Communication Services,7389,Italy,Developed Europe,EU & Environs
Fill Up Media S.A. (ENXTPA:ALFUM),ENXTPA:ALFUM,Advertising,Communication Services,7310,France,Developed Europe,EU & Environs
Flashaim Inc. (TPEX:7551),TPEX:7551,Advertising,Communication Services,7311,Taiwan,Emerging Markets,Small Asia
"Flight International Co., Ltd. (TPEX:6798)",TPEX:6798,Advertising,Communication Services,7310,Taiwan,Emerging Markets,Small Asia
Flowing Cloud Technology Ltd (SEHK:6610),SEHK:6610,Advertising,Communication Services,7370,China,Emerging Markets,China
"Fluent, Inc. (NasdaqCM:FLNT)",NasdaqCM:FLNT,Advertising,Communication Services,8742,United States,United States,United States
"Focus Media Information Technology Co., Ltd. (SZSE:002027)",SZSE:002027,Advertising,Communication Services,3570,China,Emerging Markets,China
Foodie Media Berhad (KLSE:FOODIE),KLSE:FOODIE,Advertising,Communication Services,7310,Malaysia,Emerging Markets,Small Asia
"FreakOut Holdings, inc. (TSE:6094)",TSE:6094,Advertising,Communication Services,7370,Japan,Japan,Japan
Frontier International Inc. (TSE:7050),TSE:7050,Advertising,Communication Services,7310,Japan,Japan,Japan
FS Development Investment Holdings (SZSE:300071),SZSE:300071,Advertising,Communication Services,7310,China,Emerging Markets,China
"FSN Co., Ltd. (KOSDAQ:A214270)",KOSDAQ:A214270,Advertising,Communication Services,7310,South Korea,Emerging Markets,Small Asia
"Fusion Co.,Ltd. (SPSE:3977)",SPSE:3977,Advertising,Communication Services,8742,Japan,Japan,Japan
Gambling.com Group Limited (NasdaqGM:GAMB),NasdaqGM:GAMB,Advertising,Communication Services,7310,Jersey,Developed Europe,EU & Environs
GD Culture Group Limited (NasdaqCM:GDC),NasdaqCM:GDC,Advertising,Communication Services,8742,United States,United States,United States
Gendai Agency Inc. (TSE:2411),TSE:2411,Advertising,Communication Services,7311,Japan,Japan,Japan
Genuine Marketing Group Inc. (OTCPK:GMGZ),OTCPK:GMGZ,Advertising,Communication Services,7311,United States,United States,United States
"GEOCODE CO.,Ltd. (TSE:7357)",TSE:7357,Advertising,Communication Services,7311,Japan,Japan,Japan
GHST World Inc. (OTCPK:GHST),OTCPK:GHST,Advertising,Communication Services,3663,United States,United States,United States
Gix Internet Ltd (TASE:GIX),TASE:GIX,Advertising,Communication Services,7374,Israel,Emerging Markets,Africa and Middle East
GLAD CUBE Inc. (TSE:9561),TSE:9561,Advertising,Communication Services,7311,Japan,Japan,Japan
"Global Information, Inc. (TSE:4171)",TSE:4171,Advertising,Communication Services,8700,Japan,Japan,Japan
"GMO Commerce, Inc. (TSE:410A)",TSE:410A,Advertising,Communication Services,8742,Japan,Japan,Japan
"GMO internet, Inc. (TSE:4784)",TSE:4784,Advertising,Communication Services,7310,Japan,Japan,Japan
"GMO Product Platform, Inc. (TSE:3695)",TSE:3695,Advertising,Communication Services,7370,Japan,Japan,Japan
"GMO TECH Holdings, Inc. (TSE:415A)",TSE:415A,Advertising,Communication Services,7311,Japan,Japan,Japan
Good Gamer Entertainment Inc. (TSXV:GOOD),TSXV:GOOD,Advertising,Communication Services,3993,Canada,"Australia, NZ and Canada",Canada
Goto Ltd (TASE:GOTO),TASE:GOTO,Advertising,Communication Services,7372,Israel,Emerging Markets,Africa and Middle East
Grand Prix International Public Company Limited (SET:GPI),SET:GPI,Advertising,Communication Services,7389,Thailand,Emerging Markets,Small Asia
Graphisads Limited (NSEI:GRAPHISAD),NSEI:GRAPHISAD,Advertising,Communication Services,7310,India,Emerging Markets,India
Great World Company Holdings Ltd (SEHK:8003),SEHK:8003,Advertising,Communication Services,7310,Hong Kong,Emerging Markets,China
GTN Limited (ASX:GTN),ASX:GTN,Advertising,Communication Services,7311,Australia,"Australia, NZ and Canada",Australia & NZ
"Guangdong Advertising Group Co.,Ltd (SZSE:002400)",SZSE:002400,Advertising,Communication Services,7310,China,Emerging Markets,China
"Guangdong Brandmax Marketing Co.,Ltd. (SZSE:300805)",SZSE:300805,Advertising,Communication Services,7310,China,Emerging Markets,China
"Guangdong Insight Brand Marketing Group Co.,Ltd. (SZSE:300781)",SZSE:300781,Advertising,Communication Services,7311,China,Emerging Markets,China
"Guangdong Yowant Technology Group Co., Ltd. (SZSE:002291)",SZSE:002291,Advertising,Communication Services,7310,China,Emerging Markets,China
Guangzhou Frontop Digital Creative Technology Corporation (SZSE:301313),SZSE:301313,Advertising,Communication Services,7310,China,Emerging Markets,China
Guoen Holdings Limited (SEHK:8121),SEHK:8121,Advertising,Communication Services,7389,Hong Kong,Emerging Markets,China
Hakuhodo DY Holdings Inc (TSE:2433),TSE:2433,Advertising,Communication Services,7311,Japan,Japan,Japan
Hakuten Corporation (TSE:2173),TSE:2173,Advertising,Communication Services,7389,Japan,Japan,Japan
Hangzhou Onechance Tech Crop. (SZSE:300792),SZSE:300792,Advertising,Communication Services,7311,China,Emerging Markets,China
Haoxi Health Technology Limited (NasdaqCM:HAO),NasdaqCM:HAO,Advertising,Communication Services,7311,China,Emerging Markets,China
"Harte Hanks, Inc. (NasdaqGM:HHS)",NasdaqGM:HHS,Advertising,Communication Services,7331,United States,United States,United States
Havas N.V. (ENXTAM:HAVAS),ENXTAM:HAVAS,Advertising,Communication Services,7311,France,Developed Europe,EU & Environs
Hawick Data N.V. (ENXTAM:HWK),ENXTAM:HWK,Advertising,Communication Services,7310,Netherlands,Developed Europe,EU & Environs
High Co. SA (ENXTPA:HCO),ENXTPA:HCO,Advertising,Communication Services,8742,France,Developed Europe,EU & Environs
"Hit Co., Ltd. (TSE:378A)",TSE:378A,Advertising,Communication Services,7311,Japan,Japan,Japan
"Hope, Inc. (TSE:6195)",TSE:6195,Advertising,Communication Services,7310,Japan,Japan,Japan
Hopscotch Global PR Group (ENXTPA:ALHOP),ENXTPA:ALHOP,Advertising,Communication Services,8700,France,Developed Europe,EU & Environs
HS Ad Inc. (KOSE:A035000),KOSE:A035000,Advertising,Communication Services,7310,South Korea,Emerging Markets,Small Asia
Huashi Group Holdings Limited (SEHK:1111),SEHK:1111,Advertising,Communication Services,7311,China,Emerging Markets,China
"Hunan TV & Broadcast Intermediary Co., Ltd. (SZSE:000917)",SZSE:000917,Advertising,Communication Services,7311,China,Emerging Markets,China
"Hylink Digital Solutions Co.,Ltd (SHSE:603825)",SHSE:603825,Advertising,Communication Services,7311,China,Emerging Markets,China
"HYOJITO Co., Ltd. (TSE:7368)",TSE:7368,Advertising,Communication Services,7310,Japan,Japan,Japan
"Ibotta, Inc. (NYSE:IBTA)",NYSE:IBTA,Advertising,Communication Services,7310,United States,United States,United States
IC Group Holdings Inc. (TSXV:ICGH),TSXV:ICGH,Advertising,Communication Services,6712,Canada,"Australia, NZ and Canada",Canada
Icon Culture Global Company Limited (SEHK:8500),SEHK:8500,Advertising,Communication Services,7310,China,Emerging Markets,China
IDNTT SA (BIT:IDNTT),BIT:IDNTT,Advertising,Communication Services,7310,Switzerland,Developed Europe,EU & Environs
"IID, Inc. (TSE:6038)",TSE:6038,Advertising,Communication Services,8700,Japan,Japan,Japan
IMS S.A. (WSE:IMS),WSE:IMS,Advertising,Communication Services,7310,Poland,Developed Europe,EU & Environs
"Incross Co., Ltd. (KOSDAQ:A216050)",KOSDAQ:A216050,Advertising,Communication Services,7370,South Korea,Emerging Markets,Small Asia
Infas Holding AG (DB:IFS),DB:IFS,Advertising,Communication Services,8700,Germany,Developed Europe,EU & Environs
Informa plc (LSE:INF),LSE:INF,Advertising,Communication Services,7310,United Kingdom,Developed Europe,UK
"Inly Media Co., Ltd. (SHSE:603598)",SHSE:603598,Advertising,Communication Services,7311,China,Emerging Markets,China
"Inmyshow Digital Technology(Group)Co.,Ltd. (SHSE:600556)",SHSE:600556,Advertising,Communication Services,7310,China,Emerging Markets,China
Innity Corporation Berhad (KLSE:INNITY),KLSE:INNITY,Advertising,Communication Services,7310,Malaysia,Emerging Markets,Small Asia
Innocean Worldwide Inc. (KOSE:A214320),KOSE:A214320,Advertising,Communication Services,7310,South Korea,Emerging Markets,Small Asia
Innodio SE (DUSE:LP2),DUSE:LP2,Advertising,Communication Services,7310,Germany,Developed Europe,EU & Environs
Innokaiz India Limited (BSE:543905),BSE:543905,Advertising,Communication Services,7310,India,Emerging Markets,India
INNOVEX Company Limited (XKON:A279060),XKON:A279060,Advertising,Communication Services,7310,South Korea,Emerging Markets,Small Asia
Insight Inc. (SPSE:2172),SPSE:2172,Advertising,Communication Services,7370,Japan,Japan,Japan
INTAGE HOLDINGS Inc. (TSE:4326),TSE:4326,Advertising,Communication Services,8700,Japan,Japan,Japan
Intelligent Group Limited (NasdaqCM:INTJ),NasdaqCM:INTJ,Advertising,Communication Services,8700,Hong Kong,Emerging Markets,China
"Interspace Co.,Ltd. (TSE:2122)",TSE:2122,Advertising,Communication Services,7370,Japan,Japan,Japan
Invibes Advertising N.V. (ENXTPA:ALINV),ENXTPA:ALINV,Advertising,Communication Services,7370,Belgium,Developed Europe,EU & Environs
Ionik Corporation (TSXV:INIK),TSXV:INIK,Advertising,Communication Services,7310,Canada,"Australia, NZ and Canada",Canada
Ipsos SA (ENXTPA:IPS),ENXTPA:IPS,Advertising,Communication Services,8700,France,Developed Europe,EU & Environs
"Ishin Co., Ltd. (TSE:143A)",TSE:143A,Advertising,Communication Services,8742,Japan,Japan,Japan
"ISPD Network, S.A. (ENXTPA:ALISP)",ENXTPA:ALISP,Advertising,Communication Services,7310,Spain,Developed Europe,EU & Environs
Italian Exhibition Group S.p.A. (BIT:IEG),BIT:IEG,Advertising,Communication Services,7389,Italy,Developed Europe,EU & Environs
Itamiarts.Inc (TSE:168A),TSE:168A,Advertising,Communication Services,3990,Japan,Japan,Japan
itsumo.inc. (TSE:7694),TSE:7694,Advertising,Communication Services,7310,Japan,Japan,Japan
IVE Group Limited (ASX:IGL),ASX:IGL,Advertising,Communication Services,7310,Australia,"Australia, NZ and Canada",Australia & NZ
JCDecaux SE (ENXTPA:DEC),ENXTPA:DEC,Advertising,Communication Services,7310,France,Developed Europe,EU & Environs
Jiading International Group Holdings Ltd (SEHK:8153),SEHK:8153,Advertising,Communication Services,7310,Hong Kong,Emerging Markets,China
Jiayun Technology Inc. (SZSE:300242),SZSE:300242,Advertising,Communication Services,7310,China,Emerging Markets,China
"Jollify Creative, Ltd. (TPEX:7748)",TPEX:7748,Advertising,Communication Services,7311,Taiwan,Emerging Markets,Small Asia
Joy Spreader Group Inc. (SEHK:6988),SEHK:6988,Advertising,Communication Services,7310,China,Emerging Markets,China
Kidoz Inc. (OTCPK:KDOZ.F),OTCPK:KDOZ.F,Advertising,Communication Services,7372,Canada,"Australia, NZ and Canada",Canada
Klarsen (ENXTPA:ALKLA),ENXTPA:ALKLA,Advertising,Communication Services,7310,France,Developed Europe,EU & Environs
"kt nasmedia Co., Ltd. (KOSDAQ:A089600)",KOSDAQ:A089600,Advertising,Communication Services,7310,South Korea,Emerging Markets,Small Asia
"Kurashiru, Inc. (TSE:299A)",TSE:299A,Advertising,Communication Services,7310,Japan,Japan,Japan
"KwikClick, Inc. (OTCPK:KWIK)",OTCPK:KWIK,Advertising,Communication Services,3640,United States,United States,United States
"Kyodo Public Relations Co., Ltd. (TSE:2436)",TSE:2436,Advertising,Communication Services,8700,Japan,Japan,Japan
Larq S.A. (WSE:LRQ),WSE:LRQ,Advertising,Communication Services,7310,Poland,Developed Europe,EU & Environs
"Lendway, Inc. (NasdaqCM:LDWY)",NasdaqCM:LDWY,Advertising,Communication Services,6159,United States,United States,United States
"Leo Group Co., Ltd. (SZSE:002131)",SZSE:002131,Advertising,Communication Services,7310,China,Emerging Markets,China
Lesi Group Limited (SEHK:2540),SEHK:2540,Advertising,Communication Services,7310,China,Emerging Markets,China
Limitless X Holdings Inc. (OTCPK:LIMX),OTCPK:LIMX,Advertising,Communication Services,2834,United States,United States,United States
"Llorente & Cuenca, S.A. (BME:LLYC)",BME:LLYC,Advertising,Communication Services,7310,Spain,Developed Europe,EU & Environs
"Lovable Marketing Group,inc. (TSE:9254)",TSE:9254,Advertising,Communication Services,8742,Japan,Japan,Japan
LQR House Inc. (NasdaqCM:YHC),NasdaqCM:YHC,Advertising,Communication Services,7311,United States,United States,United States
Luduson G Inc. (OTCPK:LDSN),OTCPK:LDSN,Advertising,Communication Services,8742,Hong Kong,Emerging Markets,China
LZ Technology Holdings Limited (NasdaqCM:LZMH),NasdaqCM:LZMH,Advertising,Communication Services,7310,China,Emerging Markets,China
M Vision Public Company Limited (SET:MVP),SET:MVP,Advertising,Communication Services,7310,Thailand,Emerging Markets,Small Asia
M&C Saatchi plc (AIM:SAA),AIM:SAA,Advertising,Communication Services,7310,United Kingdom,Developed Europe,UK
"Macbee Planet, Inc. (TSE:7095)",TSE:7095,Advertising,Communication Services,7311,Japan,Japan,Japan
Mach Conferences and Events Limited (BSE:544248),BSE:544248,Advertising,Communication Services,7389,India,Emerging Markets,India
